,Symbol,Name,Sector,reuters
0,MMM,3M Company,Industrials,MMM
1,AOS,A.O. Smith Corp,Industrials,AOS
2,ABT,Abbott Laboratories,Health Care,ABT
3,ABBV,AbbVie Inc.,Health Care,ABBV
4,ACN,Accenture plc,Information Technology,ACN
5,ATVI,Activision Blizzard,Information Technology,ATVI
6,AYI,Acuity Brands Inc,Industrials,AYI
7,ADBE,Adobe Systems Inc,Information Technology,ADBE
8,AAP,Advance Auto Parts,Consumer Discretionary,AAP
9,AMD,Advanced Micro Devices Inc,Information Technology,AMD
10,AES,AES Corp,Utilities,AES
11,AET,Aetna Inc,Health Care,AET
12,AMG,Affiliated Managers Group Inc,Financials,AMG
13,AFL,AFLAC Inc,Financials,AFL
14,A,Agilent Technologies Inc,Health Care,A
15,APD,Air Products & Chemicals Inc,Materials,APD
16,AKAM,Akamai Technologies Inc,Information Technology,AKAM
17,ALK,Alaska Air Group Inc,Industrials,ALK
18,ALB,Albemarle Corp,Materials,ALB
19,ARE,Alexandria Real Estate Equities Inc,Real Estate,ARE
20,ALXN,Alexion Pharmaceuticals,Health Care,ALXN
21,ALGN,Align Technology,Health Care,ALGN
22,ALLE,Allegion,Industrials,ALLE
23,AGN,"Allergan, Plc",Health Care,AGN
24,ADS,Alliance Data Systems,Information Technology,ADS
25,LNT,Alliant Energy Corp,Utilities,LNT
26,ALL,Allstate Corp,Financials,ALL
27,GOOGL,Alphabet Inc Class A,Information Technology,GOOGL
28,GOOG,Alphabet Inc Class C,Information Technology,GOOG
29,MO,Altria Group Inc,Consumer Staples,MO
30,AMZN,Amazon.com Inc.,Consumer Discretionary,AMZN
31,AEE,Ameren Corp,Utilities,AEE
32,AAL,American Airlines Group,Industrials,AAL
33,AEP,American Electric Power,Utilities,AEP
34,AXP,American Express Co,Financials,AXP
35,AIG,"American International Group, Inc.",Financials,AIG
36,AMT,American Tower Corp A,Real Estate,AMT
37,AWK,American Water Works Company Inc,Utilities,AWK
38,AMP,Ameriprise Financial,Financials,AMP
39,ABC,AmerisourceBergen Corp,Health Care,ABC
40,AME,AMETEK Inc.,Industrials,AME
41,AMGN,Amgen Inc.,Health Care,AMGN
42,APH,Amphenol Corp,Information Technology,APH
43,APC,Anadarko Petroleum Corp,Energy,APC
44,ADI,"Analog Devices, Inc.",Information Technology,ADI
45,ANDV,Andeavor,Energy,ANDV
46,ANSS,ANSYS,Information Technology,ANSS
47,ANTM,Anthem Inc.,Health Care,ANTM
48,AON,Aon plc,Financials,AON
49,APA,Apache Corporation,Energy,APA
50,AIV,Apartment Investment & Management,Real Estate,AIV
51,AAPL,Apple Inc.,Information Technology,AAPL
52,AMAT,Applied Materials Inc.,Information Technology,AMAT
53,APTV,Aptiv Plc,Consumer Discretionary,APTV
54,ADM,Archer-Daniels-Midland Co,Consumer Staples,ADM
55,ARNC,Arconic Inc.,Industrials,ARNC
56,AJG,Arthur J. Gallagher & Co.,Financials,AJG
57,AIZ,Assurant Inc.,Financials,AIZ
58,T,AT&T Inc.,Telecommunication Services,T
59,ADSK,Autodesk Inc.,Information Technology,ADSK
60,ADP,Automatic Data Processing,Information Technology,ADP
61,AZO,AutoZone Inc,Consumer Discretionary,AZO
62,AVB,"AvalonBay Communities, Inc.",Real Estate,AVB
63,AVY,Avery Dennison Corp,Materials,AVY
64,BHGE,"Baker Hughes, a GE Company",Energy,BHGE
65,BLL,Ball Corp,Materials,BLL
66,BAC,Bank of America Corp,Financials,BAC
67,BAX,Baxter International Inc.,Health Care,BAX
68,BBT,BB&T Corporation,Financials,BBT
69,BDX,Becton Dickinson,Health Care,BDX
70,BRK.B,Berkshire Hathaway,Financials,BRK.B
71,BBY,Best Buy Co. Inc.,Consumer Discretionary,BBY
72,BIIB,Biogen Inc.,Health Care,BIIB
73,BLK,BlackRock,Financials,BLK
74,HRB,Block H&R,Financials,HRB
75,BA,Boeing Company,Industrials,BA
76,BKNG,Booking Holdings Inc,Consumer Discretionary,BKNG
77,BWA,BorgWarner,Consumer Discretionary,BWA
78,BXP,Boston Properties,Real Estate,BXP
79,BSX,Boston Scientific,Health Care,BSX
80,BHF,Brighthouse Financial Inc,Financials,BHF
81,BMY,Bristol-Myers Squibb,Health Care,BMY
82,AVGO,Broadcom,Information Technology,AVGO
83,BF.B,Brown-Forman Corp.,Consumer Staples,BF.B
84,CHRW,C. H. Robinson Worldwide,Industrials,CHRW
85,CA,"CA, Inc.",Information Technology,CA
86,COG,Cabot Oil & Gas,Energy,COG
87,CDNS,Cadence Design Systems,Information Technology,CDNS
88,CPB,Campbell Soup,Consumer Staples,CPB
89,COF,Capital One Financial,Financials,COF
90,CAH,Cardinal Health Inc.,Health Care,CAH
91,KMX,Carmax Inc,Consumer Discretionary,KMX
92,CCL,Carnival Corp.,Consumer Discretionary,CCL
93,CAT,Caterpillar Inc.,Industrials,CAT
94,CBOE,Cboe Global Markets,Financials,CBOE
95,CBRE,CBRE Group,Real Estate,CBRE
96,CBS,CBS Corp.,Consumer Discretionary,CBS
97,CELG,Celgene Corp.,Health Care,CELG
98,CNC,Centene Corporation,Health Care,CNC
99,CNP,CenterPoint Energy,Utilities,CNP
100,CTL,CenturyLink Inc,Telecommunication Services,CTL
101,CERN,Cerner,Health Care,CERN
102,CF,CF Industries Holdings Inc,Materials,CF
103,SCHW,Charles Schwab Corporation,Financials,SCHW
104,CHTR,Charter Communications,Consumer Discretionary,CHTR
105,CVX,Chevron Corp.,Energy,CVX
